,Title,Event_Date,Latitude,Longitude,ZIP
168,Pickleball - Open at Emmerson,2025-04-15 13:30:00,41.9948698,-87.6770939,60660.0
169,Ice Hockey League - 14U at Morgan Park SC,2025-04-15 19:15:00,41.6836435,-87.6804633,60647.0
170,"Moms, Pops & Tots Interaction at Humboldt",2025-04-15 10:30:00,41.907065,-87.7030079,60622.0
171,Park Kids - Spring at Euclid,2025-04-15 15:00:00,41.716072,-87.63741185,60628.0
172,Ice Skating - Freestyle 5 at McFetridge,2025-04-15 18:50:00,41.9517076,-87.6970874,60618.0
173,Boys Teen Club at Sherman,2025-04-15 18:30:00,41.7991604,-87.6574279,60609.0
174,Veterans Water Aerobics and Lap Swim at Ellis,2025-04-15 13:00:00,41.8306379,-87.6108915,60653.0
175,Basketball - Open at Hale,2025-04-15 19:15:00,41.7798885,-87.7784666,60638.0
176,Flag Football at Norwood,2025-04-15 17:00:00,41.9865856,-87.7934711,60631.0
177,Volleyball Partnership at Wicker,2025-04-15 18:00:00,41.9080486,-87.676738,60622.0
178,Photography - Digital at Wilson (Frank J.),2025-04-15 18:00:00,41.96451,-87.7586122,60630.0
179,Art & ABCs at Avondale,2025-04-15 09:30:00,41.9412821,-87.7152465,60618.0
180,Basketball - Open at Seward,2025-04-15 18:00:00,41.9028389,-87.6374186,60610.0
181,Ice Skating - Freestyle Ice (Main Rink) at McFetridge,2025-04-15 08:00:00,41.9517076,-87.6970874,60618.0
182,Girls Gymnastics Lev. 1 at Harrison Gymnastics,2025-04-15 16:00:00,41.85661122,-87.67181542,60608.0
183,Pickleball - Open at Emmerson,2025-04-15 13:30:00,41.9948698,-87.6770939,60660.0
184,Graffiti Art at Horner,2025-04-15 16:00:00,41.960554,-87.6977103,60618.0
185,Tiny Tot Swim - Level II at Carver,2025-04-15 11:00:00,41.6559204,-87.5988761,60827.0
186,Table Games at Beverly,2025-04-15 17:30:00,41.70854475,-87.68488314,60655.0
187,Art & ABCs at Sheil,2025-04-15 10:30:00,41.9456861,-87.663664,60657.0
188,Little Artists at Rutherford Sayre,2025-04-15 14:00:00,41.9208169,-87.7971244,60707.0
189,Stretching at Ridge,2025-04-15 11:00:00,41.7187548,-87.6677416,60643.0
190,Aquatic Exercise II - Low Impact at Stanton,2025-04-15 13:15:00,41.9050867,-87.6446463,60610.0
191,Tiny Tot Swim - Level II at Harrison,2025-04-15 14:00:00,41.8570523,-87.6718838,60608.0
192,Hair Braiding at Kenwood,2025-04-15 10:00:00,41.8060185,-87.5936417,60615.0
193,Pickleball - Open at McFetridge,2025-04-15 13:00:00,41.9517076,-87.6970874,60618.0
194,Spring Bonanza at Rosedale,2025-04-15 15:30:00,41.9885028,-87.7858067,60646.0
195,Soccer at West Lawn,2025-04-15 10:00:00,41.77446026,-87.72885025,60629.0
196,Young Scientist at Smith,2025-04-15 10:00:00,41.891024,-87.690467,60612.0
197,World Art at Holstein,2025-04-15 16:00:00,41.9216453,-87.6850872,60647.0
198,Volleyball - Open at Addams,2025-04-15 20:30:00,41.8623915,-87.6615673,60608.0
199,Yoga at Sheil,2025-04-15 13:00:00,41.9456861,-87.663664,60657.0
200,Cardio Tennis Partnership at McGuane,2025-04-15 18:00:00,41.8411442,-87.6485994,60608.0
201,Cardio Tennis Partnership at Welles,2025-04-15 07:30:00,41.9628085,-87.6863871,60625.0
202,Learn to Swim at Fosco,2025-04-15 18:00:00,41.8649039,-87.6577277,60608.0
203,Basketball - Open at Park No. 596,2025-04-15 19:00:00,41.805526,-87.685282,60609.0
204,Checkers Club at Scottsdale,2025-04-15 16:45:00,41.741719,-87.7360673,60652.0
205,Parent and Child Swim at The Pk at NTA,2025-04-15 18:00:00,41.8526024,-87.6292349,60616.0
206,Boxing Show at Ada,2025-04-15 19:00:00,41.6882676,-87.65597843,60643.0
207,Aquatic Exercise II - Low Impact at West Pullman,2025-04-15 09:15:00,41.6700406,-87.6320972,60628.0
208,Kettlebells at Broadway Armory,2025-04-15 09:45:00,41.9892661,-87.6597274,60660.0
209,Flag Football at Oriole,2025-04-15 15:10:00,41.9782824,-87.8144555,60656.0
210,Fun and Games at Ada,2025-04-15 18:30:00,41.6882676,-87.65597843,60643.0
211,Walking Club at Bradley,2025-04-15 11:45:00,41.7180971,-87.5643236,60617.0
212,Dance - Tap - Youth 1 at McFetridge,2025-04-15 10:00:00,41.9517076,-87.6970874,60618.0
213,May in Motion: Power Flow Yoga at Norwood,2025-04-15 19:00:00,41.9865856,-87.7934711,60631.0
214,Pickleball - Open at Independence,2025-04-15 08:30:00,41.9529315,-87.7247755,60618.0
215,Piano - Group - Beginner at Olympia,2025-04-15 15:15:00,41.9993796,-87.8151339,60631.0
216,Basketball - Open at Avalon,2025-04-15 14:30:00,41.7437383,-87.5941856,60619.0
217,Boxing Skills at Portage,2025-04-15 16:00:00,41.955369,-87.7635893,60641.0
218,"Moms, Pops & Tots Interaction at Chicago Women's",2025-04-15 10:00:00,41.85770585,-87.62200394,60616.0
219,Learn to Swim (Special Rec) at West Pullman,2025-04-15 13:00:00,41.6700406,-87.6320972,60628.0
220,Track & Field (ASMG) - Open at Gately,2025-04-15 18:00:00,41.70851588,-87.60317802,60628.0
221,Gym Showcase at Trumbull,2025-04-15 17:00:00,41.7056963,-87.5644536,60617.0
222,TEAM Sports at West Pullman,2025-04-15 17:00:00,41.6700406,-87.6320972,60628.0
223,Homework Time at West Pullman,2025-04-15 15:00:00,41.6700406,-87.6320972,60628.0
224,Adult Tai Chi at Morgan Park SC,2025-04-15 09:15:00,41.6836435,-87.6804633,60647.0
225,Social Club (Special Rec) at Norwood,2025-04-15 16:00:00,41.9865856,-87.7934711,60631.0
226,Pilates at Haas,2025-04-15 18:45:00,41.925156,-87.6952824,60647.0
227,Aquatic Exercise III - High Impact at Hayes,2025-04-15 19:00:00,41.7389695,-87.697015,60652.0
228,Lap Swim at Gill,2025-04-15 11:00:00,41.95245315,-87.65034735,60613.0
229,Boys Volleyball - Open at Armour Square,2025-04-15 16:00:00,41.8341744,-87.6350089,60616.0
230,Volleyball at Hayes,2025-04-15 17:00:00,41.7389695,-87.697015,60652.0
231,Music Together at Humboldt,2025-04-15 10:00:00,41.907065,-87.7030079,60622.0
232,"Moms, Pops & Tots Interaction at Sauganash",2025-04-15 09:15:00,41.9882037,-87.7372685,60646.0
233,Chair Exercise at Chicago Women's,2025-04-15 11:30:00,41.85770585,-87.62200394,60616.0
234,Stick & Puck at Morgan Park SC,2025-04-15 08:10:00,41.6836435,-87.6804633,60647.0
235,Earth Day Clean Up at Douglass,2025-04-15 09:00:00,41.8632347,-87.7020481,60623.0
236,Mens Indoor Tennis League 4.0 Singles at McFetridge,2025-04-15 21:00:00,41.9517076,-87.6970874,60618.0
237,Archery at Hamlin,2025-04-15 18:30:00,41.9370863,-87.6805212,60618.0
238,Arts & Crafts at Riis,2025-04-15 16:30:00,41.92461603,-87.77910948,60639.0
239,Fun and Games (Special Rec) at Gompers,2025-04-15 15:30:00,41.975816,-87.734386,60630.0
240,Recreational Tumbling at Jensen,2025-04-15 17:30:00,41.9659777,-87.7208824,60625.0
241,Perspective Drawing at Wilson (Frank J.),2025-04-15 18:00:00,41.96451,-87.7586122,60630.0
242,Tiny Tot Tumbling at Kosciuszko,2025-04-15 12:00:00,41.9315116,-87.7237361,60647.0
243,Meditation at Lincoln,2025-04-15 14:00:00,41.9196663,-87.63585178,60610.0
244,Ice Skating - Snowplow Sam 2 at Morgan Park SC,2025-04-15 17:20:00,41.6836435,-87.6804633,60647.0
245,Soccer at Minuteman,2025-04-15 10:30:00,41.78416,-87.762312,60638.0
246,Dream Girls Mentoring Program at Sherman,2025-04-15 19:00:00,41.7991604,-87.6574279,60609.0
247,Kiddie College at Gompers,2025-04-15 10:00:00,41.975816,-87.734386,60630.0
248,Tiny Tot Swim - Level II at Gill,2025-04-15 10:00:00,41.95245315,-87.65034735,60613.0
249,Girls Dance - Tap at Wentworth,2025-04-15 16:15:00,41.7902142,-87.7790243,60638.0
250,Ice Hockey - Learn to Skate Level 1 at McFetridge,2025-04-15 18:00:00,41.9517076,-87.6970874,60618.0
251,Intro to Cheer - Youth (ASMG) at Gately,2025-04-15 17:00:00,41.70851588,-87.60317802,60628.0
252,Trash to Treasure at Harrison,2025-04-15 10:00:00,41.8570523,-87.6718838,60608.0
253,Basketball Skills at Jefferson,2025-04-15 17:00:00,41.9686194,-87.7629182,60630.0
254,Fun and Games at Peterson,2025-04-15 12:00:00,41.9861619,-87.7267919,60646.0
255,Rat Hockey at McFetridge,2025-04-15 13:45:00,41.9517076,-87.6970874,60618.0
256,Aquatic Exercise II - Low Impact at Harris,2025-04-15 10:30:00,41.7819343,-87.604879,60637.0
257,Twinkle Stars Gymnastics at Jesse White Gymnastics,2025-04-15 12:15:00,41.896867,-87.63932,60654.0
258,Learn to Swim at Homan Square,2025-04-15 11:00:00,41.8693788,-87.7144908,60624.0
259,Soccer at Hale,2025-04-15 16:00:00,41.7798885,-87.7784666,60638.0
260,Tiny Tot Sports at Oriole,2025-04-15 15:10:00,41.9782824,-87.8144555,60656.0
261,Girls Ballet - Beginner at Ridge,2025-04-15 15:30:00,41.7187548,-87.6677416,60643.0
262,Twinkle Stars Gymnastics at Harrison Gymnastics,2025-04-15 12:30:00,41.85661122,-87.67181542,60608.0
263,Ballet - Beginner at Kennicott,2025-04-15 16:15:00,41.8142767,-87.5973772,60653.0
264,Stick & Puck at Morgan Park SC,2025-04-15 06:00:00,41.6836435,-87.6804633,60647.0
265,Tennis Lessons: Level 2 at McFetridge,2025-04-15 20:00:00,41.9517076,-87.6970874,60618.0
266,Pilates at Broadway Armory,2025-04-15 11:00:00,41.9892661,-87.6597274,60660.0
267,Park Kids - Fall Winter Spring at Palmer,2025-04-15 15:00:00,41.6919025,-87.6162736,60628.0
268,Khecari - Kids Dance Jam Pop-up at Indian Boundary,2025-04-15 16:00:00,42.0098036,-87.6931948,60645.0
269,Table Tennis at The Park at NTA,2025-04-15 18:15:00,41.8526024,-87.6292349,60616.0
270,Tiny Tot Swim - Level II at Shabbona,2025-04-15 09:00:00,41.9450449,-87.799699,60634.0
271,Conditioning at Altgeld,2025-04-15 18:15:00,41.8747403,-87.6934362,60612.0
272,Girls Gymnastics Lev. 1 at Morgan Park SC,2025-04-15 18:00:00,41.6836435,-87.6804633,60647.0
273,Tiny Tot Tumbling at Archer,2025-04-15 13:00:00,41.8040097,-87.7357124,60632.0
274,Rising Stars Gymnastics at Morgan Park SC,2025-04-15 10:00:00,41.6836435,-87.6804633,60647.0
275,Bird Photography Hike at NPV,2025-04-15 12:00:00,41.98801757,-87.72430658,60646.0
276,Pickleball - Open at River,2025-04-15 10:30:00,41.9739812,-87.7019591,60611.0
277,Senior Citizens Club at Fosco,2025-04-15 11:00:00,41.8649039,-87.6577277,60608.0
278,Writing - Prose at Homan Square,2025-04-15 12:00:00,41.8693788,-87.7144908,60624.0
279,Cartooning at Edison,2025-04-15 15:45:00,42.00404685,-87.81758738,60631.0
