ZONE,Full_Street,WARD - LOW,WARD - HIGH
103,3401-3449 W SCHOOL ST,35.0,35.0
383,2901-2999 N SHEFFIELD AVE,44.0,44.0
2186,7101-7199 W DIVERSEY AVE,29.0,29.0
537,1501-1551 N ORLEANS ST,27.0,27.0
18,6401-6499 S LA CROSSE AVE,13.0,13.0
103,3700-3758 W CORNELIA AVE,30.0,30.0
522,8716-8748 S HALSTED ST,21.0,21.0
383,1501-1599 W CORNELIA AVE,44.0,44.0
1345,2704-2744 W EVERGREEN AVE,26.0,26.0
12,9600-9648 S VANDERPOEL AVE,19.0,19.0
1924,1913-1931 S MILLER ST,25.0,25.0
56,6301-6399 N LAKEWOOD AVE,48.0,48.0
136,3200-3256 S KEDVALE AVE,22.0,22.0
1657,3901-3999 S PRAIRIE AVE,3.0,3.0
1405,2900-2998 N WISNER AVE,35.0,35.0
2039,5100-5198 W CONCORD PL,37.0,37.0
2040,4801-4899 W CONCORD PL,37.0,37.0
101,5301-5357 W CARMEN AVE,45.0,45.0
2035,2814-2858 N NORMANDY AVE,36.0,36.0
968,7400-7450 S MICHIGAN AVE,6.0,6.0
142,400-444 W EUGENIE ST,43.0,43.0
143,2315-2365 N CAMBRIDGE AVE,43.0,43.0
95,3000-3054 N CHRISTIANA AVE,35.0,35.0
411,200-258 S KILPATRICK AVE,28.0,28.0
448,6204-6254 N FAIRFIELD AVE,50.0,50.0
1802,1101-1131 E 89TH ST,8.0,8.0
1924,1900-1942 S CARPENTER ST,25.0,25.0
18,6400-6500 S LA CROSSE AVE,13.0,
91,2035-2037 E 81ST ST,8.0,8.0
2192,7100-7146 W 64TH PL,23.0,23.0
62,2180-2198 W EASTWOOD AVE,47.0,47.0
1794,817-877 N FRANCISCO AVE,26.0,26.0
72,6100-6158 S KEATING AVE,13.0,13.0
62,2140-2144 W EASTWOOD AVE,47.0,47.0
123,2411-2453 N KEELER AVE,31.0,31.0
789,7901-7999 S EVANS AVE,6.0,6.0
81,6500-6558 S CHAMPLAIN AVE,20.0,20.0
1440,11101-11199 S BISHOP ST,34.0,34.0
77,7701-7759 S ADA ST,17.0,17.0
62,2179-2199 W EASTWOOD AVE,47.0,47.0
369,5700-5798 S MARYLAND AVE,5.0,5.0
62,2141-2145 W EASTWOOD AVE,47.0,47.0
156,6550-6598 N HIAWATHA AVE,41.0,41.0
1544,3518-3550 W WOLFRAM ST,35.0,35.0
142,204-242 W ST PAUL AVE,43.0,43.0
650,4633-4699 W 62ND ST,13.0,13.0
383,400-598 W HAWTHORNE PL,,44.0
143,1015-1051 W MONTANA ST,43.0,43.0
1568,3300-3398 N CENTRAL PARK AVE,30.0,30.0
143,1201-1227 W DICKENS AVE,2.0,2.0
1568,3301-3399 N CENTRAL PARK AVE,35.0,35.0
1189,732-798 N LARRABEE ST,42.0,42.0
383,401-599 W HAWTHORNE PL,,44.0
146,4901-4939 N PULASKI RD,39.0,39.0
1703,5600-5654 S SPAULDING AVE,14.0,14.0
56,6700-6734 N SHERIDAN RD,49.0,49.0
87,400-456 E 75TH ST,6.0,6.0
1670,5501-5551 W WRIGHTWOOD AVE,30.0,30.0
26,1608-1610 N MERRIMAC AVE,29.0,29.0
109,2301-2341 S HOYNE AVE,25.0,25.0
22,5400-5440 N NEVA AVE,41.0,41.0
143,1200-1228 W DICKENS AVE,2.0,2.0
2018,3626-3626 S SACRAMENTO AVE,12.0,12.0
102,2031-2053 N MOZART ST,1.0,1.0
154,1915-1945 N WINCHESTER AVE,32.0,32.0
1631,3201-3259 S WELLS ST,11.0,11.0
102,2030-2054 N MOZART ST,1.0,1.0
791,9334-9356 S YATES BLVD,7.0,7.0
70,5200-5258 S TRIPP AVE,23.0,23.0
244,932-980 N MICHIGAN AVE,42.0,42.0
154,1916-1944 N WINCHESTER AVE,32.0,32.0
1996,6400-6498 S LAMON AVE,13.0,13.0
100,2476-2480 N ALBANY AVE,32.0,32.0
1996,6401-6499 S LAMON AVE,13.0,13.0
101,5441-5549 W CATALPA AVE,45.0,45.0
156,6516-6568 N TAHOMA AVE,41.0,41.0
1414,2700-2732 E 74TH ST,7.0,7.0
1885,4558-4576 S MCDOWELL AVE,15.0,15.0
168,1807-1859 W HURON ST,1.0,1.0
168,1800-1858 W HURON ST,1.0,1.0
1,3404-3456 W CATALPA AVE,39.0,39.0
1127,801-899 N MONTICELLO AVE,27.0,27.0
102,1666-1666 N MOZART ST,1.0,1.0
844,8501-8599 W WINONA ST,41.0,41.0
102,1701-1799 N ARTESIAN AVE,1.0,1.0
1668,7901-7999 S MORGAN ST,17.0,17.0
252,4648-4658 S SACRAMENTO AVE,15.0,15.0
92,4614-4616 N CAMPBELL AVE,47.0,47.0
77,7914-7958 S SANGAMON ST,17.0,17.0
135,7801-7847 S BENNETT AVE,8.0,8.0
143,1661-1677 N BISSELL ST,43.0,43.0
622,9300-9398 S PERRY AVE,21.0,21.0
1955,3109-3145 W PERSHING RD,12.0,12.0
56,6701-6735 N SHERIDAN RD,49.0,49.0
393,2301-2341 N KENNETH AVE,31.0,31.0
136,3201-3257 S KEDVALE AVE,22.0,22.0
87,7500-7558 S INDIANA AVE,6.0,6.0
1316,1600-1698 W 92ND ST,21.0,21.0
143,301-359 W BELDEN AVE,43.0,43.0
383,3301-3399 N LAKEWOOD AVE,44.0,44.0
191,9501-9599 S THROOP ST,21.0,21.0
761,12301-12399 S NORMAL AVE,34.0,34.0
2019,300-346 W 24TH ST,25.0,25.0
92,2015-2051 W AINSLIE ST,47.0,47.0
345,5700-5758 S KOLMAR AVE,13.0,13.0
2020,4200-4230 W 25TH PL,22.0,22.0
168,846-846 N HERMITAGE AVE,1.0,1.0
829,1501-1599 N LONG AVE,37.0,37.0
